Meninggal Dunia Harian;Aceh;Bali;Banten;Babel;Bengkulu;DIY;Jakarta;Jambi;Jabar;Jateng;Jatim;Kalbar;Kaltim;Kalteng;Kalsel;Kaltara;Kep Riau;NTB;Sumsel;Sumbar;Sulut;Sumut;Sultra;Sulsel;Sulteng;Lampung;Riau;Malut;Maluku;Papbar;Papua;Sulbar;NTT;Gorontalo;?;Total
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;275;275
10 Sep;2;9;;1;1;1;17;1;;18;42;;3;1;6;;1;;5;;;3;2;;;;3;1;;;2;;;1;;120
11 Sep;2;10;;;1;1;17;1;7;5;29;;3;;1;;;1;1;;;3;;1;;;;;;2;2;;;1;;88
12 Sep;;7;;;2;;18;;1;10;29;;5;1;5;1;4;;3;4;;6;1;1;;;4;;2;1;;;1;;;106
13 Sep;4;6;;;;2;5;;5;6;17;;2;1;;;;1;3;3;1;;;4;;;8;;;;3;;;2;;73
14 Sep;5;5;;;;1;27;;;8;37;;2;;3;;;;5;4;1;6;;3;;1;4;;;4;;;;2;;118
15 Sep;6;5;1;;;;32;;6;12;32;1;3;1;1;;;1;4;5;;6;;;;;5;1;;;2;;;;;124
16 Sep;11;4;1;;;;31;;1;14;35;;5;3;2;;;;4;5;2;4;2;3;;2;4;;;;2;;;;;135
17 Sep;12;6;3;;;;14;1;3;16;29;;5;;;;;3;3;2;1;8;2;;;1;9;;;1;3;;;;;122
18 Sep;3;5;1;1;;;22;;2;8;26;;7;2;2;;4;2;4;2;;10;;1;;1;3;;;1;5;;;2;;114
19 Sep;;7;1;;1;1;10;;;40;20;;3;4;2;;1;3;2;2;2;5;;2;1;1;1;;;;3;;;;;112
20 Sep;4;10;5;;;4;14;;6;9;23;;1;1;3;;1;;1;3;1;5;1;8;;1;4;;;;;;;;;105
21 Sep;2;6;7;;;2;29;;2;20;25;;6;2;2;;;3;1;1;2;2;1;3;;;6;1;1;;;;;;;124
22 Sep;6;7;16;;;;30;;11;42;25;;5;;;;;2;1;2;1;1;2;1;1;1;;1;1;;2;;;2;;160
23 Sep;3;7;7;;;1;28;;13;20;20;1;4;;3;;;;5;2;;5;1;1;1;;11;;;;4;;1;2;;140
24 Sep;;5;1;;;3;20;;12;25;27;;5;;2;;;3;1;2;1;3;1;3;1;;9;;;;2;2;;;;128
25 Sep;2;4;2;;1;;13;;13;13;22;;8;;4;1;;2;5;4;;5;1;1;;;5;;;3;;2;;2;;113
26 Sep;3;2;;;2;;12;1;18;14;18;;2;;2;;;;1;1;1;2;;4;;;6;;1;;;;;;;90
27 Sep;5;7;5;;;1;13;;1;3;16;1;3;;1;;;2;3;3;;3;2;3;;;6;;;;;;;;;78
